scene_name,uv_to_cam_00,uv_to_cam_01,uv_to_cam_02,uv_to_cam_10,uv_to_cam_11,uv_to_cam_12,uv_to_cam_20,uv_to_cam_21,uv_to_cam_22
ai_001_001,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_001_002,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_001_003,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_001_004,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_001_005,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_001_006,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_001_007,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_001_008,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_001_009,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_001_010,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_002_001,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_002_002,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_002_003,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_002_004,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_002_005,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_002_006,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_002_007,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_002_008,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_002_009,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_002_010,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_003_001,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_003_002,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_003_003,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_003_004,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_003_005,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_003_006,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_003_007,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_003_008,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_003_009,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_003_010,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
ai_004_001,0.57735028861691,0,0,0,0.433012716462683,0,0,0,-1
